name,category,address,phone,fax,source_url,notes
"Hager & Dowling, LLP",Law firm,"(Santa Barbara, CA)",,805-966-4120,https://hdlaw.com/contact/,
"Fauver, Large, Archbald & Spray LLP (FLAS Law)",Law firm,"820 State Street, 4th Floor, Santa Barbara, CA 93101",,805-966-7227,https://flasllp.com/,
"Ghitterman, Ghitterman & Feld",Law firm,"(Santa Barbara, CA)",,805-965-5009,https://sblaw.org/membership-list-2/,From SB County Bar Association directory
Santa Barbara County Bar Association,Legal association,"(Santa Barbara, CA)",805-569-9400,805-569-2888,https://sblaw.org/,
"Rogers, Sheffield & Campbell, LLP",Law firm,"(Santa Barbara, CA)",805-963-9721,805-966-3715,https://www.rogerssheffield.com/,
Santa Barbara Internal Medicine Group,Medical - Internal medicine,"5333 Hollister Ave Suite 255, Santa Barbara, CA 93111",805-964-9858,888-843-9159,https://sbimg.com/,
Concierge Internal Medicine of Santa Barbara,Medical - Internal medicine,"1532 State Street, 2nd Floor, Santa Barbara, CA 93101",805-682-3771,805-682-3772,https://www.premiumcaremd.com/,
Neurology Associates of Santa Barbara,Medical - Neurology,"219 Nogales Avenue, Suite F, Santa Barbara, CA",805-682-8153,805-682-5585,https://sbneuro.com/contact-us/,
"The MedCenter, Santa Barbara",Medical - Urgent care,"2954 State Street, Santa Barbara, CA 93105",805-682-7411,805-682-6933,https://www.themedcenters.com/locations.php,
Santa Barbara Neighborhood Clinics - Bridge Clinic,Medical - Community clinic,"(Santa Barbara, CA)",,805-324-5174,https://www.sbclinics.org/about/contact-us,
Santa Barbara Neighborhood Clinics - Eastside Medical Clinic,Medical - Community clinic,"(Santa Barbara, CA)",,805-324-5171,https://www.sbclinics.org/about/contact-us,
Santa Barbara Neighborhood Clinics - Goleta Medical Clinic,Medical - Community clinic,"(Goleta, CA)",,805-618-3157,https://www.sbclinics.org/about/contact-us,Goleta location of SBNC
Santa Barbara Neighborhood Clinics - Isla Vista Medical Clinic,Medical - Community clinic,"(Isla Vista, CA)",,805-324-5178,https://www.sbclinics.org/about/contact-us,Isla Vista location of SBNC
Santa Barbara Neighborhood Clinics - Westside Medical Clinic,Medical - Community clinic,"(Santa Barbara, CA)",,805-324-5173,https://www.sbclinics.org/about/contact-us,
Santa Barbara Neighborhood Clinics - Behavioral Health,Medical - Behavioral health,"(Santa Barbara, CA)",,805-618-3983,https://www.sbclinics.org/about/contact-us,
American Indian Health & Services,Medical - Pediatrics/community health,"4141 State Street, Santa Barbara, CA",805-681-7144,805-683-6108,https://www.aihscorp.org/,
Bream Accounting and Tax Service,Accounting - CPA,"350 S. Hope Ave, Suite A101, Santa Barbara, CA 93105",,805-456-4565,https://breamaccounting.com/,
"Thomas Blake, DDS",Dentistry,"1515 State Street, Suite 1, Santa Barbara, CA 93101",805-962-5000,805-692-5549,https://www.thomasblakedds.com/,
Santa Barbara Pediatric Dentists,Dentistry - Pediatric,"520 W. Junipero St., Santa Barbara, CA 93105",805-963-4404,805-882-1886,https://www.sbpediatricdentists.com/contact-us/,
Santa Barbara Center for Oral and Maxillofacial Surgery,Dentistry - Oral surgery,"122 S. Patterson Ave, Bldg A, Suite 111, Santa Barbara, CA 93111",805-964-6787,805-964-5711,https://sboralsurgery.com/patterson-ave-office/,
Santa Barbara Oral Surgery,Dentistry - Oral surgery,"2780 State Street, Suite 9, Santa Barbara, CA 93105",805-687-5541,805-687-4406,https://www.oralsurgerysb.net/,
"Christopher A. Baxter Insurance Agency, Inc.",Insurance,"1033 Santa Barbara St, Santa Barbara, CA 93101",805-963-4048,805-963-9307,https://baxterinsurance.com/,
Douglas A. Harlow (Allstate),Insurance,"1215 De La Vina St, Ste A, Santa Barbara, CA 93101",805-963-3470,805-965-3096,https://agents.allstate.com/douglas-a-harlow-santa-barbara-ca.html,
Investec Commercial Real Estate,Real estate - Commercial,"200 E. Carrillo Street, Suite 200, Santa Barbara, CA 93101",805-962-8989,805-962-1918,https://www.investecrealestate.com/contact-us/,
Berkshire Hathaway HomeServices California Properties (Santa Barbara),Real estate,"3868 State St., Santa Barbara, CA 93105",,805-563-0053,https://www.bhhs.com/california-properties-ca301/santa-barbara/oid-ca301-077,
Santa Barbara Realty (Jose Munoz),Real estate,"(Santa Barbara, CA)",805-886-1703,805-681-6365,https://santabarbararealty.com/,
"Santa Barbara Architecture, Inc.",Architecture,"150 Cedar Lane, Santa Barbara, CA 93108",805-729-1898,805-565-2285,http://sbarchinc.com/contact.html,Address is Montecito but listed as Santa Barbara
CSA Architects,Architecture,"1055 Tisha Ct., Santa Barbara, CA 93111",805-962-4575,805-962-8036,https://www.santabarbara.com/community/directory/architects/,
Capital Property Management,Property management,"315 Meigs Road, Suite A-212, Santa Barbara, CA 93109",805-730-6562,805-899-9122,http://www.sbcapitalproperty.com/contact.html,
SIMA Acquisitions & Property Management,Property management,"1231-B State Street, Santa Barbara, CA 93101",805-965-1616,805-965-6368,https://www.sima.net/,
"The Laurel Company / Bristol Property Management, Inc.",Property management,"2920 De la Vina Street, Santa Barbara, CA 93105",805-963-5945,805-963-2073,https://www.thelaurelco.com/contact/,
"Jed Hirsch General Building Contractor, Inc.",General contractor,"539 San Ysidro Road, Suite D, Santa Barbara, CA 93108",,805-687-7494,https://www.jedhirsch.com/,
Bishop Garcia Diego High School,Private school,"(Santa Barbara, CA)",,805-964-3178,https://www.bishopdiego.org/,Catholic high school
Saint Therese Classical Academy,Private school,"(Santa Barbara, CA)",,805-683-1112,https://saintthereseclassicalacademy.com/,
Paragon Mortgage Group,Mortgage broker,"1215 De la Vina Street, Suite G, Santa Barbara, CA 93101",805-899-1390,805-966-3040,https://www.paragonmortgagegroup.com/,
Human Performance Center,Physical therapy,"2320 Calle Real, Santa Barbara, CA 93105",805-687-8553,805-687-5325,https://hpcsb.com/contact-us/,
